People,Density,EntryRate,Temp,Humidity,CO2,Airflow,Time,Session,OutsideTemp,RoomSize,ACCapacity,ACUnits,Feedback
29,0.14,17,26.48,70,539,0.79,15,Empty,39,200,2.0,4,-1
99,0.49,16,26.61,65,972,0.68,12,Empty,31,200,2.5,4,0
162,0.81,15,32.11,51,1296,0.66,10,Lecture,40,200,1.5,1,1
153,0.77,11,30.28,72,1350,0.58,11,Networking,28,200,2.0,4,1
118,0.59,13,28.18,73,1101,0.37,15,Networking,29,200,1.5,4,1
48,0.24,5,27.11,46,656,0.44,17,Lecture,39,200,2.5,1,1
169,0.84,20,31.89,65,1400,0.37,12,Lecture,32,200,2.5,1,1
77,0.39,7,28.32,40,853,0.27,12,Empty,31,200,2.5,3,1
58,0.29,2,26.5,71,760,0.47,11,Empty,38,200,1.5,2,1
59,0.29,12,27.48,65,706,0.2,12,Networking,41,200,2.5,3,1
190,0.95,22,31.56,68,1496,0.43,16,Networking,29,200,2.5,2,1
16,0.08,20,23.83,56,565,0.4,15,Lecture,32,200,2.0,3,-1
80,0.4,0,28.42,67,835,0.85,18,Lecture,37,200,2.0,2,1
109,0.55,13,30.69,58,1028,0.6,13,Empty,38,200,2.5,3,1
157,0.79,9,31.9,75,1273,0.48,12,Empty,37,200,2.5,2,1
90,0.45,12,29.88,57,985,0.48,12,Empty,39,200,2.0,3,1
34,0.17,9,24.57,60,647,0.33,17,Empty,34,200,2.0,1,-1
63,0.32,10,25.31,71,742,0.5,12,Lecture,32,200,2.5,3,1
71,0.35,23,27.73,69,902,0.3,15,Lecture,39,200,2.0,3,1
103,0.52,3,27.19,43,1057,0.68,13,Lecture,28,200,2.5,1,1
128,0.64,17,29.07,45,1092,0.51,14,Lecture,33,200,2.5,3,1
8,0.04,20,22.97,57,519,0.87,9,Empty,38,200,2.5,2,-1
156,0.78,18,33.14,55,1284,0.99,9,Networking,41,200,2.0,4,1
57,0.28,25,25.47,70,819,0.82,18,Lecture,34,200,1.5,1,0
153,0.77,4,31.57,75,1249,0.68,18,Lecture,42,200,2.0,1,1
156,0.78,22,30.31,72,1407,0.48,13,Lecture,38,200,2.0,4,1
26,0.13,14,25.01,53,605,0.62,11,Lecture,42,200,2.0,2,0
70,0.35,9,25.49,55,788,0.33,18,Networking,33,200,2.5,1,0
122,0.61,0,30.48,70,1105,0.89,10,Lecture,38,200,2.0,2,1
179,0.9,12,31.82,58,1398,0.46,12,Lecture,42,200,1.5,3,1
33,0.17,1,25.41,57,562,0.48,18,Networking,39,200,2.0,1,0
117,0.58,24,28.97,48,1038,0.39,9,Empty,35,200,1.5,1,1
179,0.9,8,31.4,54,1404,0.5,12,Lecture,39,200,2.0,1,1
113,0.56,12,29.64,52,1031,0.77,13,Networking,39,200,2.0,2,1
165,0.82,22,31.14,61,1312,0.54,18,Empty,42,200,2.0,2,1
6,0.03,13,22.13,67,482,0.24,12,Empty,32,200,2.0,4,-1
189,0.94,23,34.61,57,1547,0.72,16,Networking,40,200,1.5,2,1
178,0.89,17,32.81,66,1499,0.93,17,Empty,40,200,2.5,3,1
1,0.01,7,23.52,52,445,0.39,10,Empty,28,200,2.5,4,-1
70,0.35,14,25.41,51,839,0.92,18,Empty,33,200,2.5,2,1
198,0.99,2,32.82,63,1630,0.45,10,Empty,30,200,1.5,4,1
20,0.1,24,25.36,70,512,0.86,17,Networking,33,200,1.5,3,0
157,0.79,8,31.47,47,1389,0.79,10,Empty,30,200,1.5,3,1
174,0.87,19,32.65,67,1372,0.77,18,Lecture,30,200,2.5,4,1
132,0.66,9,30.89,56,1198,0.64,9,Lecture,38,200,2.0,2,1
72,0.36,9,27.15,63,835,0.42,17,Networking,41,200,2.0,2,1
145,0.72,20,32.33,56,1342,0.27,10,Lecture,38,200,1.5,4,1
136,0.68,6,31.29,60,1223,0.67,10,Networking,40,200,2.5,2,1
171,0.85,21,33.41,52,1486,0.8,12,Networking,37,200,2.5,3,1
153,0.77,23,30.65,62,1292,0.33,10,Empty,33,200,2.0,1,1
196,0.98,24,33.88,74,1649,0.96,11,Empty,40,200,2.0,3,1
37,0.18,21,24.66,72,601,0.43,17,Lecture,28,200,2.5,4,1
184,0.92,5,33.37,72,1527,0.33,18,Networking,29,200,2.5,2,1
153,0.77,1,31.19,46,1386,0.6,16,Networking,40,200,2.5,3,1
26,0.13,15,24.65,44,537,0.38,15,Networking,41,200,1.5,1,1
166,0.83,6,31.42,70,1473,0.77,13,Empty,37,200,2.5,4,1
97,0.48,13,28.03,68,1036,0.46,12,Lecture,31,200,2.5,2,1
39,0.2,16,26.29,66,713,0.61,10,Networking,38,200,2.0,2,0
29,0.14,15,26.88,42,630,0.69,15,Lecture,41,200,2.5,4,0
61,0.3,17,26.19,64,836,0.39,14,Lecture,37,200,2.5,4,1
188,0.94,24,33.0,43,1584,0.44,15,Lecture,42,200,2.5,1,1
36,0.18,0,26.27,52,588,0.74,9,Lecture,34,200,1.5,1,0
136,0.68,1,29.07,61,1285,0.65,9,Empty,29,200,1.5,3,1
110,0.55,14,27.65,61,1096,0.63,14,Empty,28,200,1.5,4,1
21,0.1,22,23.12,46,496,0.25,13,Lecture,28,200,1.5,2,-1
95,0.47,13,28.86,48,930,0.86,9,Empty,36,200,1.5,4,1
67,0.34,20,26.88,56,732,0.5,10,Networking,33,200,1.5,4,0
24,0.12,25,24.18,71,582,0.37,14,Lecture,28,200,1.5,1,1
21,0.1,25,24.55,51,529,0.49,18,Empty,41,200,2.5,3,1
99,0.49,11,28.57,48,972,0.24,16,Networking,35,200,1.5,2,1
130,0.65,5,30.83,64,1172,0.45,16,Lecture,40,200,1.5,3,1
166,0.83,14,32.68,58,1435,0.58,9,Empty,42,200,2.5,3,1
63,0.32,4,26.65,64,800,0.7,15,Networking,29,200,1.5,1,-1
2,0.01,7,23.79,74,381,0.4,14,Networking,33,200,2.5,1,1
179,0.9,4,34.12,57,1401,0.21,9,Networking,40,200,2.5,2,1
125,0.62,5,30.75,58,1214,0.86,17,Networking,33,200,2.5,2,1
177,0.89,2,30.53,48,1385,0.91,15,Networking,28,200,2.0,4,1
73,0.36,24,27.32,55,876,0.47,10,Empty,28,200,1.5,2,1
109,0.55,20,28.37,41,1081,0.92,16,Lecture,39,200,2.0,4,1
132,0.66,25,30.6,62,1123,0.52,12,Networking,36,200,2.0,3,1
3,0.01,11,24.5,50,462,0.75,11,Networking,39,200,1.5,2,1
98,0.49,20,28.18,74,1059,0.35,13,Networking,34,200,2.5,2,1
179,0.9,15,32.58,60,1542,0.8,15,Empty,40,200,1.5,4,1
20,0.1,12,24.17,70,515,0.68,15,Lecture,36,200,2.0,4,1
61,0.3,21,25.13,54,825,0.76,11,Empty,31,200,2.5,4,0
180,0.9,22,33.39,40,1539,0.87,15,Networking,41,200,1.5,1,1
34,0.17,2,24.92,68,531,0.96,14,Empty,42,200,2.5,3,0
143,0.71,1,32.09,50,1230,0.76,13,Lecture,42,200,1.5,3,1
87,0.43,5,27.79,46,989,0.7,13,Networking,33,200,2.5,2,1
133,0.67,10,30.3,58,1181,0.98,11,Networking,41,200,2.0,1,1
148,0.74,1,31.4,62,1275,0.75,10,Lecture,37,200,2.0,3,1
58,0.29,1,26.11,40,796,0.23,16,Lecture,40,200,1.5,2,0
119,0.59,21,30.09,74,1042,0.99,11,Empty,29,200,2.5,1,1
185,0.93,15,33.41,47,1578,0.92,16,Empty,34,200,2.5,2,1
179,0.9,14,30.77,73,1458,0.97,9,Lecture,32,200,1.5,2,1
196,0.98,3,32.8,43,1510,0.6,13,Empty,38,200,1.5,4,1
51,0.26,4,25.75,58,763,0.34,15,Networking,41,200,1.5,3,0
107,0.54,9,29.24,61,988,0.74,18,Empty,33,200,2.5,3,1
18,0.09,5,26.1,50,467,0.34,17,Empty,41,200,2.0,1,0
20,0.1,10,24.28,66,532,0.96,10,Lecture,30,200,1.5,2,1
106,0.53,1,30.04,62,997,0.86,17,Lecture,36,200,2.5,4,1
12,0.06,8,24.72,62,504,0.58,12,Networking,32,200,1.5,2,0
124,0.62,9,29.37,62,1177,0.34,17,Lecture,35,200,1.5,2,1
145,0.72,2,29.7,50,1248,0.93,14,Empty,32,200,2.0,3,1
109,0.55,21,29.53,57,1074,0.33,9,Empty,37,200,2.0,1,1
47,0.23,13,27.6,71,626,0.48,11,Networking,41,200,1.5,4,1
61,0.3,21,26.77,41,815,0.97,9,Lecture,34,200,1.5,2,1
99,0.49,2,26.93,50,987,0.71,12,Lecture,31,200,2.0,1,1
68,0.34,6,25.56,58,846,0.8,15,Lecture,29,200,2.5,1,1
145,0.72,7,29.56,66,1307,0.95,15,Networking,37,200,2.5,2,1
130,0.65,14,31.19,74,1110,0.46,13,Networking,41,200,1.5,3,1
197,0.98,17,32.71,42,1545,0.81,17,Networking,33,200,1.5,2,1
153,0.77,7,31.23,57,1362,0.31,14,Empty,29,200,1.5,3,1
180,0.9,18,31.46,40,1552,0.21,14,Empty,38,200,2.0,2,1
21,0.1,19,24.5,40,565,0.56,13,Empty,32,200,2.5,1,0
195,0.97,4,31.89,57,1564,0.73,13,Lecture,32,200,2.5,1,1
176,0.88,0,31.08,65,1496,0.87,10,Empty,30,200,2.0,1,1
92,0.46,11,26.41,49,963,0.22,18,Empty,33,200,2.0,2,0
15,0.07,5,22.73,41,565,0.42,15,Empty,32,200,2.5,3,-1
88,0.44,5,26.72,57,943,0.77,18,Lecture,38,200,2.5,3,1
48,0.24,17,26.58,67,731,0.39,10,Networking,37,200,2.5,3,-1
51,0.26,17,25.56,63,686,1.0,9,Networking,40,200,1.5,1,0
34,0.17,15,24.96,44,664,0.35,14,Lecture,32,200,2.0,1,0
133,0.67,14,30.25,75,1181,0.91,12,Lecture,28,200,1.5,4,1
1,0.01,7,24.63,53,468,0.26,12,Lecture,33,200,2.0,2,0
194,0.97,12,33.94,63,1599,0.85,14,Lecture,31,200,2.5,1,1
43,0.21,0,26.7,61,627,0.21,16,Empty,38,200,2.5,1,1
34,0.17,9,26.64,51,578,0.68,13,Networking,39,200,2.5,1,0
189,0.94,16,32.91,42,1502,0.51,11,Empty,36,200,2.0,2,1
41,0.2,1,26.86,64,666,0.88,14,Empty,38,200,2.0,2,-1
4,0.02,1,24.23,47,482,0.4,15,Networking,42,200,2.5,3,0
6,0.03,1,24.43,58,413,0.91,15,Networking,40,200,2.5,3,-1
10,0.05,24,23.43,50,533,0.39,14,Empty,36,200,1.5,1,-1
38,0.19,4,24.68,73,635,0.96,15,Empty,30,200,1.5,1,1
103,0.52,7,27.81,64,948,0.89,9,Networking,34,200,1.5,3,1
38,0.19,10,24.68,50,658,0.41,10,Empty,33,200,2.5,4,1
87,0.43,15,27.0,53,920,0.92,12,Empty,28,200,2.0,2,0
134,0.67,2,31.28,48,1175,0.94,16,Networking,40,200,2.5,3,1
82,0.41,5,28.35,60,839,0.5,16,Networking,42,200,2.5,2,1
96,0.48,17,28.69,55,1016,0.34,12,Empty,41,200,2.0,1,1
6,0.03,13,24.47,56,394,0.52,9,Empty,38,200,1.5,2,0
89,0.45,0,27.5,48,999,0.65,13,Networking,31,200,1.5,1,1
51,0.26,12,25.61,61,776,0.63,10,Empty,38,200,1.5,2,-1
64,0.32,7,26.97,40,862,0.55,13,Empty,42,200,2.0,3,0
150,0.75,12,32.79,65,1349,0.96,16,Empty,42,200,2.5,3,1
129,0.65,21,30.11,69,1140,0.5,17,Networking,42,200,2.0,1,1
96,0.48,12,27.9,59,1035,0.43,15,Networking,35,200,1.5,2,1
172,0.86,10,33.29,67,1452,0.64,15,Networking,33,200,1.5,1,1
194,0.97,23,32.89,72,1525,0.56,18,Networking,37,200,1.5,1,1
22,0.11,12,23.99,51,584,0.7,16,Networking,41,200,2.5,2,-1
151,0.76,8,31.61,53,1275,0.86,17,Lecture,34,200,2.0,2,1
77,0.39,5,27.69,47,824,0.49,13,Networking,40,200,2.5,2,1
67,0.34,12,25.27,61,850,0.68,11,Networking,28,200,2.0,1,1
70,0.35,9,28.0,68,893,0.63,11,Networking,39,200,2.5,3,1
84,0.42,10,28.33,44,874,0.63,12,Empty,32,200,2.0,2,1
193,0.96,17,34.57,46,1487,0.79,15,Lecture,42,200,2.5,1,1
4,0.02,6,24.63,68,351,0.21,12,Lecture,30,200,2.0,3,0
156,0.78,7,29.85,46,1324,0.91,17,Networking,29,200,2.0,3,1
83,0.41,15,26.61,53,932,0.82,17,Networking,34,200,1.5,2,1
92,0.46,11,28.15,50,1013,0.68,18,Empty,41,200,2.0,3,1
168,0.84,4,31.61,61,1462,0.79,12,Lecture,30,200,1.5,4,1
31,0.15,6,25.64,56,542,0.52,11,Lecture,30,200,2.5,3,-1
165,0.82,4,31.84,67,1467,0.29,16,Empty,34,200,2.5,1,1
70,0.35,25,27.7,62,830,0.63,11,Empty,29,200,2.5,3,1
5,0.03,11,22.92,72,377,0.62,11,Lecture,37,200,1.5,1,1
33,0.17,8,25.61,68,661,0.93,14,Empty,40,200,2.0,4,1
15,0.07,3,24.94,57,456,0.77,18,Lecture,35,200,2.5,4,1
45,0.23,15,26.47,53,659,0.83,13,Empty,37,200,1.5,3,0
88,0.44,23,29.08,43,910,0.94,10,Empty,40,200,1.5,1,1
169,0.84,21,32.37,40,1472,0.83,11,Lecture,36,200,1.5,1,1
170,0.85,13,32.16,56,1435,0.97,18,Empty,41,200,2.5,1,1
122,0.61,10,29.1,59,1188,0.71,14,Lecture,35,200,1.5,1,1
65,0.33,2,26.55,55,805,0.62,17,Lecture,39,200,2.5,4,0
106,0.53,2,28.09,62,1016,0.76,12,Networking,34,200,2.5,1,1
159,0.8,3,31.68,61,1309,0.85,10,Empty,32,200,2.0,3,1
72,0.36,22,26.02,55,857,0.99,13,Lecture,35,200,2.5,3,1
171,0.85,17,31.94,68,1457,0.7,17,Empty,29,200,2.5,3,1
200,1.0,2,33.95,55,1633,0.54,15,Networking,40,200,2.0,1,1
103,0.52,1,29.25,52,971,0.73,11,Networking,37,200,2.5,1,1
183,0.92,15,31.22,62,1420,0.38,13,Networking,35,200,2.5,4,1
26,0.13,24,23.53,57,530,0.66,13,Networking,31,200,2.5,2,-1
58,0.29,10,25.69,64,766,0.76,18,Lecture,40,200,2.0,1,-1
92,0.46,12,27.27,63,1021,0.52,17,Lecture,31,200,2.5,2,1
104,0.52,0,29.52,48,1008,0.88,15,Lecture,39,200,2.5,3,1
163,0.81,22,33.35,41,1424,0.73,9,Empty,42,200,2.0,1,1
103,0.52,21,29.83,43,967,0.77,15,Networking,34,200,2.0,2,1
127,0.64,21,29.81,74,1144,0.75,15,Lecture,37,200,2.5,1,1
88,0.44,15,28.69,60,936,0.81,15,Empty,38,200,2.5,1,1
39,0.2,3,25.76,71,631,0.8,15,Lecture,31,200,2.5,1,1
114,0.57,10,28.55,40,1101,0.76,16,Lecture,39,200,2.0,3,1
27,0.14,20,25.73,44,569,0.97,14,Networking,42,200,1.5,1,0
25,0.12,4,24.18,43,563,0.92,18,Networking,35,200,2.5,1,0
144,0.72,17,32.02,40,1335,0.48,18,Empty,36,200,1.5,2,1
110,0.55,10,27.82,74,1072,0.37,9,Lecture,29,200,1.5,3,1
81,0.41,12,26.95,53,823,0.31,11,Empty,32,200,2.0,2,0
169,0.84,13,33.19,73,1483,0.21,9,Lecture,35,200,2.0,2,1
120,0.6,7,29.98,55,1089,0.38,18,Networking,38,200,2.0,4,1
179,0.9,19,33.08,59,1451,0.74,13,Empty,32,200,2.0,1,1
190,0.95,0,33.71,52,1583,0.83,9,Empty,41,200,2.0,3,1
178,0.89,24,33.31,63,1485,0.43,13,Empty,38,200,1.5,4,1
8,0.04,8,23.41,65,519,0.39,14,Empty,36,200,2.5,4,-1
101,0.51,8,28.4,45,1009,0.93,9,Empty,28,200,1.5,2,1
148,0.74,3,31.51,45,1262,0.57,15,Lecture,32,200,2.5,1,1
132,0.66,2,30.09,74,1239,0.79,18,Networking,33,200,1.5,2,1
129,0.65,17,29.6,69,1161,0.44,15,Empty,31,200,1.5,3,1
18,0.09,21,24.92,41,556,0.29,10,Empty,29,200,1.5,1,0
47,0.23,7,25.68,65,620,0.94,18,Empty,40,200,1.5,1,0
185,0.93,9,33.85,61,1578,0.39,14,Empty,32,200,2.0,1,1
23,0.12,0,24.03,48,530,0.88,14,Lecture,32,200,2.0,2,0
186,0.93,1,31.65,70,1548,0.24,10,Empty,38,200,2.5,3,1
9,0.04,14,25.3,58,462,0.97,16,Lecture,37,200,1.5,4,0
183,0.92,5,32.86,55,1488,0.34,15,Networking,39,200,2.5,4,1
168,0.84,23,30.36,68,1448,0.5,9,Networking,31,200,2.0,1,1
170,0.85,17,32.0,63,1340,0.58,13,Networking,39,200,2.0,4,1
80,0.4,14,27.48,67,960,0.98,11,Lecture,31,200,2.0,4,1
181,0.91,3,31.13,58,1547,0.8,14,Lecture,34,200,2.0,2,1
19,0.1,15,23.83,71,548,0.28,12,Lecture,42,200,2.5,1,1
22,0.11,24,25.77,74,594,0.82,11,Networking,40,200,2.0,2,1
20,0.1,0,24.91,69,499,0.24,16,Networking,30,200,1.5,2,-1
52,0.26,19,25.42,46,730,0.46,11,Lecture,41,200,2.0,4,0
163,0.81,18,32.1,68,1318,0.67,13,Networking,31,200,2.0,2,1
194,0.97,21,33.15,44,1507,0.33,14,Empty,42,200,2.0,4,1
187,0.94,22,32.97,51,1593,0.77,10,Empty,38,200,2.0,2,1
83,0.41,6,26.21,74,828,0.7,9,Networking,31,200,1.5,3,1
118,0.59,1,29.55,71,1147,0.79,10,Lecture,40,200,2.0,4,1
0,0.0,17,22.27,61,325,0.83,18,Lecture,30,200,2.0,1,-1
149,0.74,24,29.64,63,1336,0.82,9,Lecture,36,200,2.5,4,1
128,0.64,14,29.81,40,1097,0.74,12,Networking,31,200,1.5,3,1
138,0.69,7,31.49,52,1228,0.89,17,Lecture,35,200,2.0,1,1
177,0.89,5,32.88,67,1382,0.22,12,Lecture,30,200,1.5,3,1
164,0.82,13,31.25,46,1462,0.31,15,Empty,42,200,2.0,3,1
102,0.51,4,28.08,48,1033,0.63,16,Networking,33,200,2.0,3,1
118,0.59,10,27.76,49,1073,0.37,18,Lecture,31,200,2.5,3,1
5,0.03,24,23.7,48,434,0.38,11,Networking,33,200,1.5,2,-1
191,0.95,5,31.24,74,1574,0.26,10,Empty,30,200,1.5,2,1
86,0.43,25,28.12,51,910,0.72,17,Empty,42,200,2.0,1,1
43,0.21,17,26.21,59,625,0.65,11,Lecture,36,200,1.5,2,-1
114,0.57,2,27.97,61,1071,0.97,16,Empty,28,200,2.5,1,1
61,0.3,0,25.21,59,784,0.76,14,Networking,28,200,2.5,2,0
127,0.64,5,29.86,46,1104,0.72,12,Lecture,34,200,2.0,4,1
154,0.77,23,30.91,65,1269,0.23,17,Empty,38,200,2.5,1,1
2,0.01,17,23.93,70,383,0.51,9,Lecture,38,200,2.0,4,-1
193,0.96,17,31.67,65,1581,0.53,17,Empty,32,200,2.0,4,1
8,0.04,3,23.23,53,410,0.75,16,Empty,29,200,2.0,4,-1
127,0.64,18,30.23,44,1169,0.64,10,Empty,30,200,2.5,4,1
23,0.12,20,25.47,40,482,0.74,16,Lecture,31,200,2.5,3,-1
61,0.3,24,27.69,68,832,0.84,16,Empty,37,200,2.0,2,1
148,0.74,4,31.66,61,1313,0.96,13,Empty,35,200,1.5,4,1
186,0.93,3,33.57,45,1457,0.79,12,Networking,31,200,2.0,1,1
49,0.24,24,24.88,45,664,0.61,17,Empty,30,200,2.0,2,0
170,0.85,10,31.87,40,1483,0.44,13,Networking,36,200,1.5,1,1
55,0.28,1,27.03,57,728,0.48,13,Empty,41,200,1.5,4,1
41,0.2,1,24.45,73,590,0.99,17,Networking,30,200,2.0,2,1
114,0.57,18,30.32,58,1027,0.68,11,Networking,36,200,2.5,2,1
191,0.95,8,32.18,72,1606,0.42,17,Empty,29,200,2.0,1,1
115,0.57,8,29.73,52,1070,0.3,13,Lecture,34,200,1.5,3,1
12,0.06,18,23.1,65,420,0.77,16,Networking,35,200,2.5,1,-1
16,0.08,15,24.28,44,531,0.86,11,Empty,32,200,2.5,3,0
78,0.39,7,26.75,40,865,0.71,15,Empty,28,200,2.0,1,-1
115,0.57,25,28.16,61,1035,0.71,15,Networking,30,200,1.5,4,1
69,0.34,18,25.92,69,742,0.41,17,Empty,28,200,2.0,4,0
40,0.2,13,25.66,44,668,0.26,17,Networking,32,200,1.5,4,0
128,0.64,11,28.9,47,1131,0.31,18,Lecture,30,200,2.5,4,1
38,0.19,24,23.84,40,622,0.84,18,Lecture,33,200,2.0,1,-1
184,0.92,19,31.51,47,1434,0.45,10,Lecture,37,200,1.5,2,1
183,0.92,21,32.55,72,1480,0.92,12,Lecture,38,200,1.5,2,1
3,0.01,6,23.03,66,466,0.46,13,Lecture,28,200,2.0,1,-1
61,0.3,10,24.43,74,836,0.72,16,Empty,28,200,2.5,1,1
39,0.2,15,26.84,40,712,0.67,12,Lecture,41,200,1.5,4,-1
90,0.45,20,27.77,56,897,0.34,13,Empty,34,200,1.5,2,1
159,0.8,6,31.35,53,1392,0.33,9,Empty,37,200,2.5,1,1
83,0.41,13,27.35,52,820,0.4,12,Networking,31,200,2.0,2,1
27,0.14,25,24.85,63,595,0.93,16,Networking,41,200,2.0,1,1
162,0.81,24,32.06,45,1372,0.55,17,Networking,39,200,1.5,3,1
178,0.89,11,33.2,71,1499,0.81,11,Empty,39,200,2.5,4,1
52,0.26,16,27.72,59,637,0.94,17,Lecture,39,200,2.5,3,1
160,0.8,20,31.48,40,1404,0.52,13,Empty,30,200,2.5,2,1
182,0.91,0,32.75,44,1412,0.59,15,Lecture,31,200,2.0,4,1
190,0.95,12,33.83,69,1598,0.87,18,Lecture,33,200,1.5,1,1
142,0.71,15,31.81,75,1328,0.28,13,Empty,35,200,1.5,2,1
104,0.52,25,28.08,66,1035,0.92,14,Networking,40,200,2.0,2,1
140,0.7,23,31.94,55,1234,0.54,14,Networking,40,200,2.5,2,1
44,0.22,1,26.05,43,642,0.78,15,Empty,30,200,1.5,1,0
27,0.14,15,24.41,40,631,0.53,10,Empty,41,200,1.5,2,0
82,0.41,4,27.15,42,892,0.26,9,Lecture,29,200,2.5,2,1
78,0.39,18,28.56,58,914,0.81,17,Networking,34,200,2.0,4,1
37,0.18,4,25.88,56,629,0.4,11,Empty,34,200,2.0,4,-1
178,0.89,14,30.54,47,1536,0.42,14,Lecture,31,200,2.5,1,1
168,0.84,11,33.2,71,1473,0.76,12,Networking,42,200,2.5,2,1
5,0.03,1,24.41,61,420,0.97,13,Networking,32,200,1.5,4,0
38,0.19,13,26.78,52,649,0.21,9,Empty,34,200,1.5,1,0
111,0.56,12,29.68,71,997,0.96,17,Empty,30,200,1.5,3,1
193,0.96,14,31.95,67,1611,0.55,17,Empty,28,200,2.5,1,1
138,0.69,23,30.38,53,1267,0.54,10,Networking,34,200,2.5,4,1
89,0.45,3,25.87,55,862,0.37,10,Networking,29,200,2.5,3,0
44,0.22,23,24.61,43,632,0.86,18,Empty,35,200,1.5,4,0
137,0.69,18,30.83,73,1275,0.58,17,Networking,34,200,2.0,3,1
178,0.89,20,33.42,67,1459,0.86,17,Empty,36,200,2.0,3,1
54,0.27,2,27.14,54,787,0.53,9,Lecture,38,200,1.5,3,1
186,0.93,7,32.88,48,1573,0.93,16,Empty,35,200,1.5,2,1
140,0.7,0,30.22,72,1227,0.76,11,Lecture,37,200,2.0,4,1
65,0.33,23,26.61,53,717,0.25,10,Empty,39,200,2.5,4,-1
47,0.23,4,25.95,73,675,0.45,18,Lecture,32,200,2.0,2,1
37,0.18,7,24.46,61,695,0.64,11,Lecture,36,200,1.5,3,0
